Date,COMID,Flow_M3PerDay
2019-05-28,8831810,1110.50015
2019-05-29,8831810,1063.8994625
2019-05-30,8831810,1032.60180416667
2019-05-31,8831810,989.253016666667
2019-06-01,8831810,996.257091666667
2019-06-02,8831810,991.73975
2019-06-03,8831810,956.4692
2019-06-04,8831810,909.176925
2019-06-05,8831810,861.590375
2019-06-06,8831810,889.7097
2019-04-28,8831806,11578.2478625
2019-04-29,8831806,11850.8479041667
2019-04-30,8831806,12241.19305
2019-05-01,8831806,12380.3182458333
2019-05-02,8831806,12104.5545875
2019-05-03,8831806,11783.911825
2019-05-04,8831806,11572.2296541667
2019-05-05,8831806,10499.5897958333
2019-05-06,8831806,9994.0745875
2019-05-07,8831806,10654.7978958333
2019-05-08,8831806,10574.8689708333
2019-05-09,8831806,8228.06005
2019-05-10,8831806,5550.57314166667
2019-05-11,8831806,3585.39841666667
2019-05-12,8831806,2785.87362916667
2019-05-13,8831806,2553.67947916667
2019-05-14,8831806,2503.84159166667
2019-05-15,8831806,2616.480775
2019-05-16,8831806,2743.80498333333
2019-05-17,8831806,2860.7702
2019-05-18,8831806,2930.031175
2019-05-19,8831806,2663.2727625
2019-05-20,8831806,2165.67393333333
2019-05-21,8831806,1901.51998333333
2019-05-22,8831806,1728.34551666667
2019-05-23,8831806,1565.11802916667
2019-05-24,8831806,1437.985125
2019-05-25,8831806,1340.39883333333
2019-05-26,8831806,1262.01492083333
2019-05-27,8831806,1195.21127083333
2019-05-28,8831806,1113.0310375
2019-05-29,8831806,1066.03305416667
2019-05-30,8831806,1034.60296666667
2019-05-31,8831806,991.9899
2019-06-01,8831806,998.449545833333
2019-06-02,8831806,993.431925
2019-06-03,8831806,958.382083333334
2019-06-04,8831806,911.133954166667
2019-06-05,8831806,863.6651125
2019-06-06,8831806,891.063433333333
2019-04-28,8831808,11577.0559833333
2019-04-29,8831808,11864.5764916667
2019-04-30,8831808,12249.5508541667
2019-05-01,8831808,12374.461875
2019-05-02,8831808,12084.1309208333
2019-05-03,8831808,11770.9189666667
2019-05-04,8831808,11552.379825
2019-05-05,8831808,10434.3164666667
2019-05-06,8831808,9992.08814166667
2019-05-07,8831808,10709.09425
2019-05-08,8831808,10488.3479541667
2019-05-09,8831808,8103.767025
2019-05-10,8831808,5402.08954166667
2019-05-11,8831808,3509.589525
2019-05-12,8831808,2752.16279583333
2019-05-13,8831808,2545.98380833333
2019-05-14,8831808,2501.34015
2019-05-15,8831808,2625.28003333333
2019-05-16,8831808,2748.45474583333
2019-05-17,8831808,2866.6707
2019-05-18,8831808,2922.2913625
2019-05-19,8831808,2629.73850833333
2019-05-20,8831808,2136.7011625
2019-05-21,8831808,1884.142225
2019-05-22,8831808,1715.13192916667
2019-05-23,8831808,1550.2123
2019-05-24,8831808,1427.67027916667
2019-05-25,8831808,1331.2905875
2019-05-26,8831808,1254.87839166667
2019-05-27,8831808,1186.57389166667
2019-05-28,8831808,1106.056375
2019-05-29,8831808,1060.94184166667
2019-05-30,8831808,1030.30635
2019-05-31,8831808,986.4572625
2019-06-01,8831808,997.4783875
2019-06-02,8831808,990.0475875
2019-06-03,8831808,953.173158333333
2019-06-04,8831808,905.248175
2019-06-05,8831808,859.2802
2019-06-06,8831808,894.006325
2019-04-28,8831798,11583.147775
2019-04-29,8831798,11889.6940625
2019-04-30,8831798,12265.5749083333
2019-05-01,8831798,12367.7815208333
2019-05-02,8831798,12057.1151583333
2019-05-03,8831798,11755.1450708333
2019-05-04,8831798,11523.1127833333
2019-05-05,8831798,10344.33755
2019-05-06,8831798,9996.95862916667
2019-05-07,8831798,10792.2897916667
2019-05-08,8831798,10358.9195791667
2019-05-09,8831798,7920.54260416667
2019-05-10,8831798,5183.8446875
2019-05-11,8831798,3404.38115416667
2019-05-12,8831798,2706.29784166667
2019-05-13,8831798,2537.74370833333
2019-05-14,8831798,2501.53143333333
2019-05-15,8831798,2640.965625
2019-05-16,8831798,2758.62244583333
2019-05-17,8831798,2878.589425
2019-05-18,8831798,2911.46151666667
2019-05-19,8831798,2579.70935
2019-05-20,8831798,2097.63427083333
2019-05-21,8831798,1860.70208333333
2019-05-22,8831798,1697.40101666667
2019-05-23,8831798,1530.6420625
2019-05-24,8831798,1414.32427083333
2019-05-25,8831798,1319.69559583333
2019-05-26,8831798,1246.196875
2019-05-27,8831798,1175.02304583333
2019-05-28,8831798,1097.8457125
2019-05-29,8831798,1055.05606666667
2019-05-30,8831798,1025.068
2019-05-31,8831798,979.659191666667
2019-06-01,8831798,995.933375
2019-06-02,8831798,986.059975
2019-06-03,8831798,946.242645833333
2019-06-04,8831798,897.140508333333
2019-06-05,8831798,855.013008333333
2019-06-06,8831798,896.610779166667
2019-04-28,8831858,11721.4931083333
2019-04-29,8831858,11787.266725
2019-04-30,8831858,12147.241225
2019-05-01,8831858,12433.0695666667
2019-05-02,8831858,12385.1298791667
2019-05-03,8831858,12025.6115208333
2019-05-04,8831858,11770.3009583333
2019-05-05,8831858,11298.9085875
2019-05-06,8831858,10223.6201416667
2019-05-07,8831858,10219.3676666667
2019-05-08,8831858,11043.9953
2019-05-09,8831858,9688.63186666667
2019-05-10,8831858,7319.28042083333
2019-05-11,8831858,4930.1233
2019-05-12,8831858,3448.274375
2019-05-13,8831858,2799.74935416667
2019-05-14,8831858,2602.4579
2019-05-15,8831858,2566.92248333333
2019-05-16,8831858,2685.21201666667
2019-05-17,8831858,2806.38558333333
2019-05-18,8831858,2924.82223333333
2019-05-19,8831858,2929.92817083333
2019-05-20,8831858,2610.43313333333
2019-05-21,8831858,2189.08463333333
2019-05-22,8831858,1930.566325
2019-05-23,8831858,1757.77444166667
2019-05-24,8831858,1601.00660416667
2019-05-25,8831858,1473.22625
2019-05-26,8831858,1373.815375
2019-05-27,8831858,1294.2984375
2019-05-28,8831858,1223.44832083333
2019-05-29,8831858,1146.6241375
2019-05-30,8831858,1094.4172375
2019-05-31,8831858,1059.86769166667
2019-06-01,8831858,1030.7477875
2019-06-02,8831858,1021.38939583333
2019-06-03,8831858,1020.68309166667
2019-06-04,8831858,984.50025
2019-06-05,8831858,936.369245833333
2019-06-06,8831858,896.993370833333
2019-04-28,8831852,11698.8181208333
2019-04-29,8831852,11800.8334583333
2019-04-30,8831852,12175.2428375
2019-05-01,8831852,12440.4268041667
2019-05-02,8831852,12353.067075
2019-05-03,8831852,11988.8695125
2019-05-04,8831852,11747.0962541667
2019-05-05,8831852,11196.4076708333
2019-05-06,8831852,10169.2355
2019-05-07,8831852,10263.1431666667
2019-05-08,8831852,11051.7204041667
2019-05-09,8831852,9468.66542083333
2019-05-10,8831852,7055.17060833333
2019-05-11,8831852,4680.34537916667
2019-05-12,8831852,3315.44696666667
2019-05-13,8831852,2743.8197
2019-05-14,8831852,2586.61042916667
2019-05-15,8831852,2570.11551666667
2019-05-16,8831852,2702.01591666667
2019-05-17,8831852,2819.04000416667
2019-05-18,8831852,2937.623825
2019-05-19,8831852,2907.2237625
2019-05-20,8831852,2542.21690833333
2019-05-21,8831852,2135.72999583333
2019-05-22,8831852,1895.54590833333
2019-05-23,8831852,1730.228975
2019-05-24,8831852,1573.41698333333
2019-05-25,8831852,1452.34642916667
2019-05-26,8831852,1356.12859166667
2019-05-27,8831852,1280.2608375
2019-05-28,8831852,1207.60084583333
2019-05-29,8831852,1133.16040833333
2019-05-30,8831852,1085.23541666667
2019-05-31,8831852,1052.010175
2019-06-01,8831852,1024.61184583333
2019-06-02,8831852,1020.91852083333
2019-06-03,8831852,1016.51890416667
2019-06-04,8831852,974.347254166667
2019-06-05,8831852,925.27455
2019-06-06,8831852,893.859183333333
2019-04-28,8831846,11691.7551833333
2019-04-29,8831846,11813.0170333333
2019-04-30,8831846,12192.7089041667
2019-05-01,8831846,12444.9735708333
2019-05-02,8831846,12334.7328458333
2019-05-03,8831846,11971.0061625
2019-05-04,8831846,11735.6042666667
2019-05-05,8831846,11134.4745166667
2019-05-06,8831846,10147.796525
2019-05-07,8831846,10296.2212666667
2019-05-08,8831846,11039.0512541667
2019-05-09,8831846,9344.00455833333
2019-05-10,8831846,6906.31915
2019-05-11,8831846,4551.50557916667
2019-05-12,8831846,3252.33664166667
2019-05-13,8831846,2719.32012083333
2019-05-14,8831846,2579.15020416667
2019-05-15,8831846,2574.10313333333
2019-05-16,8831846,2710.52087916667
2019-05-17,8831846,2825.94108333333
2019-05-18,8831846,2943.37718333333
2019-05-19,8831846,2891.17027916667
2019-05-20,8831846,2504.19475
2019-05-21,8831846,2109.34699166667
2019-05-22,8831846,1878.006275
2019-05-23,8831846,1715.4998
2019-05-24,8831846,1559.4824125
2019-05-25,8831846,1441.63431666667
2019-05-26,8831846,1347.1674875
2019-05-27,8831846,1273.15376666667
2019-05-28,8831846,1199.00760833333
2019-05-29,8831846,1126.5977625
2019-05-30,8831846,1080.73279583333
2019-05-31,8831846,1047.61055416667
2019-06-01,8831846,1022.49295416667
2019-06-02,8831846,1020.88909166667
2019-06-03,8831846,1013.28171666667
2019-06-04,8831846,968.6674875
2019-06-05,8831846,919.329916666667
2019-06-06,8831846,894.477195833333
2019-04-28,8831848,11698.4208416667
2019-04-29,8831848,11802.025325
2019-04-30,8831848,12176.9055833333
2019-05-01,8831848,12440.897675
2019-05-02,8831848,12351.6544791667
2019-05-03,8831848,11987.4716458333
2019-05-04,8831848,11746.2575333333
2019-05-05,8831848,11191.3311791667
2019-05-06,8831848,10167.5433333333
2019-05-07,8831848,10265.9683416667
2019-05-08,8831848,11050.8081
2019-05-09,8831848,9458.49775
2019-05-10,8831848,7044.26719166667
2019-05-11,8831848,4671.94342083333
2019-05-12,8831848,3311.63592083333
2019-05-13,8831848,2742.43653333333
2019-05-14,8831848,2586.1837125
2019-05-15,8831848,2570.3803875
2019-05-16,8831848,2702.56035833333
2019-05-17,8831848,2819.48144166667
2019-05-18,8831848,2938.02112083333
2019-05-19,8831848,2906.32617083333
2019-05-20,8831848,2540.12745833333
2019-05-21,8831848,2134.3615625
2019-05-22,8831848,1894.67774583333
2019-05-23,8831848,1729.52267916667
2019-05-24,8831848,1572.7548375
2019-05-25,8831848,1451.81671666667
2019-05-26,8831848,1355.76073333333
2019-05-27,8831848,1279.93714166667
2019-05-28,8831848,1207.233
2019-05-29,8831848,1132.89555
2019-05-30,8831848,1085.029425
2019-05-31,8831848,1051.83359583333
2019-06-01,8831848,1024.56770416667
2019-06-02,8831848,1020.977375
2019-06-03,8831848,1016.44532916667
2019-06-04,8831848,974.0824
2019-06-05,8831848,925.039116666667
2019-06-06,8831848,893.859175
2019-04-28,8831840,11683.3973708333
2019-04-29,8831840,11828.9675041667
2019-04-30,8831840,12214.515725
2019-05-01,8831840,12448.9023333333
2019-05-02,8831840,12308.8648375
2019-05-03,8831840,11947.5219
2019-05-04,8831840,11719.71265
2019-05-05,8831840,11045.9081958333
2019-05-06,8831840,10122.9879583333
2019-05-07,8831840,10345.5735708333
2019-05-08,8831840,11009.6076208333
2019-05-09,8831840,9176.42159166667
2019-05-10,8831840,6702.80348333333
2019-05-11,8831840,4381.686025
2019-05-12,8831840,3167.87565416667
2019-05-13,8831840,2689.02307083333
2019-05-14,8831840,2570.1008125
2019-05-15,8831840,2581.76936666667
2019-05-16,8831840,2721.98344583333
2019-05-17,8831840,2835.79977083333
2019-05-18,8831840,2950.99927916667
2019-05-19,8831840,2867.25928333333
2019-05-20,8831840,2452.13500416667
2019-05-21,8831840,2075.238875
2019-05-22,8831840,1855.14000833333
2019-05-23,8831840,1695.10555416667
2019-05-24,8831840,1540.75089583333
2019-05-25,8831840,1427.00814166667
2019-05-26,8831840,1334.76320416667
2019-05-27,8831840,1263.0302125
2019-05-28,8831840,1186.58860833333
2019-05-29,8831840,1117.68080833333
2019-05-30,8831840,1074.69987083333
2019-05-31,8831840,1041.13619583333
2019-06-01,8831840,1018.57891666667
2019-06-02,8831840,1020.85966666667
2019-06-03,8831840,1008.13165
2019-06-04,8831840,961.060120833333
2019-06-05,8831840,911.281104166667
2019-06-06,8831840,896.47835
2019-04-28,8831830,11671.6258125
2019-04-29,8831830,11852.61365
2019-04-30,8831830,12242.4143541667
2019-05-01,8831830,12449.5791958333
2019-05-02,8831830,12267.0169208333
2019-05-03,8831830,11912.5750625
2019-05-04,8831830,11693.4326291667
2019-05-05,8831830,10904.2373958333
2019-05-06,8831830,10092.9116041667
2019-05-07,8831830,10432.6243
2019-05-08,8831830,10931.0324208333
2019-05-09,8831830,8923.11219583333
2019-05-10,8831830,6392.5197125
2019-05-11,8831830,4145.94568333333
2019-05-12,8831830,3056.5607875
2019-05-13,8831830,2650.29460416667
2019-05-14,8831830,2556.53408333333
2019-05-15,8831830,2596.115975
2019-05-16,8831830,2736.34476666667
2019-05-17,8831830,2849.234075
2019-05-18,8831830,2956.914475
2019-05-19,8831830,2823.36605833333
2019-05-20,8831830,2372.2502
2019-05-21,8831830,2026.91657916667
2019-05-22,8831830,1821.9294875
2019-05-23,8831830,1662.61604583333
2019-05-24,8831830,1513.7204375
2019-05-25,8831830,1405.36317083333
2019-05-26,8831830,1316.5467
2019-05-27,8831830,1247.5506125
2019-05-28,8831830,1167.7982375
2019-05-29,8831830,1105.129375
2019-05-30,8831830,1065.98890416667
2019-05-31,8831830,1029.95320416667
2019-06-01,8831830,1011.17756666667
2019-06-02,8831830,1019.28522916667
2019-06-03,8831830,998.272979166667
2019-06-04,8831830,949.067825
2019-06-05,8831830,899.009241666667
2019-06-06,8831830,902.143416666667
2019-04-28,8831832,11673.9948333333
2019-04-29,8831832,11842.5636625
2019-04-30,8831832,12231.7610625
2019-05-01,8831832,12448.4609041667
2019-05-02,8831832,12280.2452041667
2019-05-03,8831832,11922.8751791667
